time,power,OA Wetbulb Temp
52590,12967252.15,11.19444444
52605,13002960.41,11.125
52620,13038716.55,11.05555556
52635,13064155.72,11.04166667
52650,13089618.82,11.02777778
52665,13115105.86,11.01388889
52680,13140616.84,11
52695,13144768.98,11.02777778
52710,13148917.41,11.05555556
52725,13153062.14,11.08333333
52740,13157203.17,11.11111111
52755,13153920.63,11.125
52770,13150638.1,11.13888889
52785,13147355.57,11.15277778
52800,13144073.03,11.16666667
52815,13182319.15,11.15277778
52830,13220608.34,11.13888889
52845,13258940.63,11.125
52860,13297315.99,11.11111111
52875,13335734.45,11.11111111
52890,13374195.99,11.11111111
52905,13412700.61,11.11111111
52920,13451248.32,11.11111111
52935,13446466.8,11.09722222
52950,13441685.27,11.08333333
52965,13436903.75,11.06944444
52980,13432122.23,11.05555556
52995,13427340.7,11.05555556
53010,13422559.18,11.05555556
53025,13417777.66,11.05555556
53040,13412996.14,11.05555556
53055,13397167.65,11.05555556
53070,13381339.16,11.05555556
53085,13365510.67,11.05555556
53100,13349682.18,11.05555556
53115,13333853.69,11.06944444
53130,13318025.2,11.08333333
53145,13302196.71,11.09722222
53160,13286368.22,11.11111111
53175,13272949.36,11.11111111
53190,13259527.58,11.11111111
53205,13246102.87,11.11111111
53220,13232675.24,11.11111111
53235,13219244.68,11.13888889
53250,13205811.2,11.16666667
53265,13192374.78,11.19444444
53280,13178935.45,11.22222222
53295,13168116.56,11.25
53310,13157295.92,11.27777778
53325,13146473.52,11.30555556
53340,13135649.37,11.33333333
53355,13124823.47,11.33333333
53370,13113995.8,11.33333333
53385,13103166.38,11.33333333
53400,13092335.21,11.33333333
53415,13093526.94,11.33333333
53430,13094718.6,11.33333333
53445,13095910.2,11.33333333
53460,13097101.74,11.33333333
53475,13086488.96,11.33333333
53490,13075876.62,11.33333333
53505,13065264.74,11.33333333
53520,13054653.3,11.33333333
53535,13065452.99,11.33333333
53550,13076246.45,11.33333333
53565,13087033.7,11.33333333
53580,13097814.73,11.33333333
53595,13124904.83,11.31944444
53610,13152022.9,11.30555556
53625,13179168.96,11.29166667
53640,13206343,11.27777778
53655,13218989.9,11.26388889
53670,13231636.8,11.25
53685,13244283.71,11.23611111
53700,13256930.61,11.22222222
53715,13269577.51,11.20833333
53730,13282224.42,11.19444444
53745,13294871.32,11.18055556
53760,13307518.22,11.16666667
53775,13307518.22,11.16666667
53790,13307518.22,11.16666667
53805,13307518.22,11.16666667
53820,13307518.22,11.16666667
53835,13307518.22,11.16666667
53850,13307518.22,11.16666667
53865,13307518.22,11.16666667
53880,13307518.22,11.16666667
53895,13219602.9,11.18055556
53910,13131687.57,11.19444444
53925,13043772.24,11.20833333
53940,12955856.91,11.22222222
53955,12867941.59,11.22222222
53970,12780026.26,11.22222222
53985,12692110.93,11.22222222
54000,12604195.6,11.22222222
54015,12423806.61,11.26388889
54030,12244206.31,11.30555556
54045,12065394.72,11.34722222
54060,11887371.83,11.38888889
54075,11728716.74,11.40277778
54090,11570390.28,11.41666667
54105,11412392.44,11.43055556
54120,11254723.23,11.44444444
54135,11174861.45,11.47222222
54150,11095211.41,11.5
54165,11015773.11,11.52777778
54180,10936546.56,11.55555556
54195,10863749.9,11.52777778
54210,10791096.69,11.5
54225,10718586.91,11.47222222
54240,10646220.57,11.44444444
54255,10559214.05,11.41666667
54270,10472303.48,11.38888889
54285,10385488.87,11.36111111
54300,10298770.21,11.33333333
54315,10218245.04,11.33333333
54330,10137808.56,11.33333333
54345,10057460.76,11.33333333
54360,9977201.642,11.33333333
54375,10064125.9,11.31944444
54390,10149337.56,11.30555556
54405,10232836.64,11.29166667
54420,10314623.13,11.27777778
54435,10386857.9,11.27777778
54450,10457166,11.27777778
54465,10525547.45,11.27777778
54480,10592002.23,11.27777778
54495,10599364.96,11.29166667
54510,10605454.82,11.30555556
54525,10610271.79,11.31944444
54540,10613815.89,11.33333333
54555,10593440.96,11.36111111
54570,10571438.97,11.38888889
54585,10547809.9,11.41666667
54600,10522553.76,11.44444444
54615,10556012.65,11.43055556
54630,10589488.36,11.41666667
54645,10622980.89,11.40277778
54660,10656490.24,11.38888889
54675,10684137.95,11.43055556
54690,10711768.82,11.47222222
54705,10739382.87,11.51388889
54720,10766980.1,11.55555556
54735,10836778.72,11.61111111
54750,10906438.42,11.66666667
54765,10975959.18,11.72222222
54780,11045341.01,11.77777778
54795,11139671.61,11.77777778
54810,11233819.12,11.77777778
54825,11327783.56,11.77777778
54840,11421564.92,11.77777778
54855,11432127.35,11.77777778
54870,11442616.03,11.77777778
54885,11453030.98,11.77777778
54900,11463372.2,11.77777778
54915,11523334.42,11.79166667
54930,11583083.64,11.80555556
54945,11642619.84,11.81944444
54960,11701943.02,11.83333333
54975,11752156.58,11.84722222
54990,11802370.14,11.86111111
55005,11852583.71,11.875
55020,11902797.27,11.88888889
55035,11961743.62,11.84722222
55050,12020689.98,11.80555556
55065,12079636.33,11.76388889
55080,12138582.69,11.72222222
55095,12224819.44,11.72222222
55110,12311356.08,11.72222222
55125,12398192.61,11.72222222
55140,12485329.01,11.72222222
55155,12519562.89,11.73611111
55170,12553774.38,11.75
55185,12587963.49,11.76388889
55200,12622130.23,11.77777778
55215,12684663.53,11.80555556
55230,12747196.83,11.83333333
55245,12809730.13,11.86111111
55260,12872263.43,11.88888889
55275,12866027.14,11.90277778
55290,12859125.91,11.91666667
55305,12851559.75,11.93055556
55320,12843328.66,11.94444444
55335,12843819.65,11.95833333
55350,12844180.05,11.97222222
55365,12844409.86,11.98611111
55380,12844509.08,12
55395,12836637.58,12
