time,HTWR AVG,CT Fan SPD,CTW Flow,HTW Flow
52080.0,86.19,97.3,6404.7,4104.2
52200.0,86.19,98.2,6404.7,4104.2
52320.0,86.19,98.8,6404.7,4082.5
52440.0,86.19,98.9,6635.1,4043.6
52560.0,86.04,98.9,6737.4,4025.0
52680.0,86.04,98.9,6737.4,4062.4
52800.0,86.04,98.9,6737.4,4054.3
52920.0,86.42,98.9,6737.4,4079.1
53040.0,86.42,98.6,6737.4,4067.5
53160.0,86.42,98.5,6620.6,4029.1
53280.0,86.22,98.0,6379.1,4032.3
53400.0,86.06,97.2,6172.8,4034.7
53520.0,86.22,95.5,6055.7,4034.0
53640.0,86.4,94.3,6055.7,4068.0
53760.0,86.57,92.7,6055.7,4068.0
53880.0,86.57,92.6,6055.7,4068.0
54000.0,86.57,93.1,6055.7,3853.0
54120.0,86.09,94.0,6055.7,3493.6
54240.0,85.44,94.1,5716.4,3344.2
54360.0,83.84,92.5,5363.6,3328.3
54480.0,82.76,86.1,4669.3,3718.5
54600.0,82.37,80.4,3999.6,3960.6
54720.0,83.73,74.1,3729.6,4052.6
54840.0,85.96,70.2,4304.6,4024.2
54960.0,86.32,71.3,5190.5,3979.4
55080.0,85.73,80.5,5630.6,3979.4
55200.0,85.42,90.8,5630.6,4077.3
55320.0,85.42,96.1,5286.5,4238.9
55440.0,86.25,96.3,5286.5,4316.1
55560.0,87.25,91.2,5434.9,4287.1
55680.0,87.25,87.1,6030.1,4266.3
55800.0,86.81,88.6,6506.5,4231.8
55920.0,86.44,93.1,6506.5,4265.9
56040.0,86.44,95.7,6506.5,4280.9
56160.0,86.62,96.5,6236.7,4300.0
56280.0,86.79,96.2,6236.7,4252.3
56400.0,86.79,96.5,6236.7,3941.0
56520.0,86.23,97.0,6236.7,3630.8
56640.0,85.01,96.8,6236.7,3525.1
56760.0,83.48,95.6,5782.7,3525.1
56880.0,83.05,94.0,5214.5,3629.3
57000.0,83.05,92.4,4669.8,3671.5
57120.0,83.77,87.3,4227.2,3701.8
57240.0,83.94,80.5,3997.3,3564.2
57360.0,83.94,75.3,3997.3,3371.7
57480.0,83.44,71.7,4212.2,3346.4
57600.0,82.68,71.8,4212.2,3396.7
57720.0,82.37,72.5,3915.1,3530.8
57840.0,82.37,72.8,3915.1,3588.0
57960.0,82.89,72.8,3915.1,3572.9
58080.0,83.11,71.5,3915.1,3493.0
58200.0,83.11,70.2,3915.1,3440.4
58320.0,82.95,70.0,3915.1,3423.5
58440.0,82.76,71.0,4134.2,3504.5
58560.0,82.61,72.9,4615.4,3630.0
58680.0,82.79,74.7,4751.6,3687.6
58800.0,83.35,76.2,4751.6,3703.3
58920.0,83.35,76.4,4633.1,3664.4
59040.0,83.35,76.5,4633.1,3607.7
59160.0,83.35,76.3,4633.1,3564.5
59280.0,83.02,77.2,4633.1,3548.2
59400.0,82.87,78.3,4633.1,3565.0
59520.0,82.87,80.5,4633.1,3624.3
59640.0,82.87,81.8,4633.1,3713.2
59760.0,83.21,81.8,4633.1,3974.1
59880.0,83.75,81.3,4751.2,4129.7
60000.0,85.25,80.6,5239.2,4191.1
60120.0,86.05,81.8,5676.1,4187.3
60240.0,86.05,86.3,5930.5,4136.2
60360.0,85.89,89.8,6032.1,3832.0
60480.0,85.57,91.5,6032.1,3596.2
60600.0,84.1,90.7,6032.1,3512.6
60720.0,82.89,87.8,5890.4,3467.4
60840.0,82.57,84.2,5660.0,3512.2
60960.0,82.57,79.0,5104.3,3587.1
61080.0,82.92,74.1,4602.1,3618.5
61200.0,82.92,70.1,4177.7,3671.7
61320.0,83.22,67.8,3817.0,3755.6
61440.0,83.22,67.8,3950.4,3902.8
61560.0,83.91,72.6,4543.3,3989.7
61680.0,84.8,81.3,5185.1,4099.3
61800.0,85.56,87.8,5535.4,4176.5
61920.0,85.91,92.8,5535.4,4194.5
62040.0,85.91,95.9,5535.4,4125.0
62160.0,85.91,96.6,5746.6,3625.6
62280.0,85.04,96.6,5846.5,3365.7
62400.0,83.36,96.5,5960.8,3312.0
62520.0,82.16,93.7,5359.2,3409.2
62640.0,81.75,89.4,4453.4,3548.4
62760.0,82.32,83.8,3590.1,3548.4
62880.0,82.9,76.2,3590.1,3367.1
63000.0,83.06,70.9,3691.1,3159.3
63120.0,82.33,68.0,3691.1,3104.0
63240.0,81.58,67.6,3691.1,3274.0
63360.0,81.4,69.2,3691.1,3470.0
63480.0,81.57,70.4,3691.1,3525.3
63600.0,82.45,70.1,3691.1,3489.4
63720.0,82.8,70.1,3691.1,3334.3
63840.0,82.63,70.0,3691.1,3270.7
63960.0,81.95,70.9,3691.1,3269.5
64080.0,81.62,72.3,3691.1,3501.1
64200.0,81.62,72.4,3691.1,3596.0
64320.0,82.45,71.8,3691.1,3664.4
64440.0,83.24,70.8,3691.1,3646.0
64560.0,83.24,69.8,4010.3,3585.2
64680.0,83.24,71.6,4488.2,3528.2
64800.0,82.89,76.4,4488.2,3551.2
64920.0,82.55,80.5,4488.2,3569.3
65040.0,82.55,81.6,4007.5,3569.3
65160.0,82.55,77.6,3747.2,4198.6
65280.0,82.55,72.2,3646.7,4952.4
