time,PT-04C,PT-04B,PT-04A,DPT-07
9060.0,22.0,22.3,22.3,24.2
9090.0,22.0,22.3,22.3,24.2
9120.0,22.0,22.3,22.3,24.0
9150.0,22.0,22.3,22.3,23.8
9180.0,22.0,22.3,22.3,23.8
9210.0,22.0,22.3,22.3,23.8
9240.0,22.0,22.3,22.3,23.7
9270.0,22.0,22.3,22.3,23.9
9300.0,22.0,22.3,22.3,24.1
9330.0,22.0,22.3,22.3,24.1
9360.0,22.0,22.3,22.3,24.1
9390.0,22.0,22.3,22.3,24.1
9420.0,22.0,22.3,22.3,24.0
9450.0,22.0,22.3,22.3,24.1
9480.0,22.0,22.3,22.3,24.1
9510.0,22.0,22.3,22.3,24.1
9540.0,22.0,22.3,22.3,24.1
9570.0,22.0,22.3,22.3,24.1
9600.0,22.0,22.3,22.3,24.1
9630.0,22.0,22.3,22.3,24.0
9660.0,22.0,22.3,22.3,24.2
9690.0,22.0,22.3,22.3,24.0
9720.0,22.0,22.3,22.3,23.8
9750.0,22.0,22.3,22.3,23.7
9780.0,22.0,22.3,22.3,23.7
9810.0,22.0,22.3,22.3,23.9
9840.0,22.0,22.3,22.3,23.9
9870.0,22.0,22.3,22.3,23.9
9900.0,22.0,22.3,22.3,23.8
9930.0,22.0,22.3,22.3,24.1
9960.0,22.0,22.3,22.3,24.1
9990.0,22.0,22.3,22.3,24.2
10020.0,22.0,22.3,22.3,24.2
10050.0,22.0,22.3,22.3,24.3
10080.0,22.0,22.3,22.3,24.2
10110.0,22.0,22.3,22.3,24.2
10140.0,22.0,22.3,22.3,24.1
10170.0,22.0,22.3,22.3,24.0
10200.0,22.0,22.3,22.3,24.0
10230.0,22.0,22.3,22.3,23.9
10260.0,22.0,22.3,22.3,23.8
10290.0,22.0,22.3,22.3,23.8
10320.0,22.0,22.3,22.3,23.8
10350.0,22.0,22.3,22.3,23.9
10380.0,22.1,22.4,22.4,23.8
10410.0,22.1,22.4,22.3,23.8
10440.0,22.0,22.3,22.3,23.8
10470.0,21.8,22.2,22.1,23.9
10500.0,21.8,22.2,22.2,23.9
10530.0,22.0,22.3,22.2,23.9
10560.0,22.0,22.3,22.2,23.9
10590.0,22.0,22.3,22.3,24.0
10620.0,22.0,22.3,22.3,24.0
10650.0,22.0,22.3,22.3,24.2
10680.0,22.0,22.3,22.3,24.3
10710.0,22.0,22.3,22.3,24.4
10740.0,22.0,22.3,22.3,24.3
10770.0,22.0,22.3,22.3,24.1
10800.0,22.0,22.3,22.3,23.7
10830.0,22.0,22.3,22.3,23.6
10860.0,22.0,22.3,22.3,23.6
10890.0,22.0,22.3,22.3,23.5
10920.0,22.0,22.3,22.3,23.9
10950.0,22.0,22.3,22.3,24.0
10980.0,22.1,22.5,22.4,24.1
11010.0,22.1,22.3,22.3,24.0
11040.0,22.1,22.3,22.3,23.9
11070.0,22.0,22.3,22.3,24.1
11100.0,22.0,22.3,22.3,24.1
11130.0,22.0,22.3,22.3,24.1
11160.0,22.0,22.3,22.3,24.1
11190.0,22.0,22.3,22.3,24.2
11220.0,22.0,22.3,22.3,24.3
11250.0,22.0,22.3,22.3,24.4
11280.0,22.0,22.3,22.3,24.5
11310.0,22.0,22.3,22.3,24.3
11340.0,22.0,22.3,22.3,24.3
11370.0,22.0,22.3,22.3,24.1
11400.0,22.0,22.3,22.3,24.0
11430.0,22.0,22.3,22.3,23.8
11460.0,22.0,22.3,22.3,23.4
11490.0,22.0,22.3,22.3,23.4
11520.0,22.0,22.3,22.3,23.4
11550.0,22.0,22.3,22.3,23.6
11580.0,22.0,22.3,22.3,23.8
